repository_name,Training Set,Test Set,Model,Loop Size,accuracy_mean,accuracy_std,AUC_mean,AUC_std,F-measure_mean,F-measure_std,MCC_mean,MCC_std
PROMISE,poi-3.0,forrest-0.8,TCA+_N1,1,0.312,0,0.633,0,0.154,0,0.149,0
PROMISE,forrest-0.8,synapse-1.2,LR,1,0.672,0,0.543,0,0.236,0,0.14,0
PROMISE,forrest-0.8,synapse-1.2,TCA_NoN,1,0.652,0,0.661,0,0.57,0,0.304,0
PROMISE,forrest-0.8,synapse-1.2,TCA_N1,1,0.594,0,0.591,0,0.49,0,0.172,0
PROMISE,forrest-0.8,synapse-1.2,TCA_N2,1,0.703,0,0.621,0,0.457,0,0.281,0
PROMISE,forrest-0.8,synapse-1.2,TCA_N3,1,0.613,0,0.462,0,0,0,-0.165,0
PROMISE,forrest-0.8,synapse-1.2,TCA_N4,1,0.758,0,0.663,0,0.508,0,0.423,0
PROMISE,forrest-0.8,synapse-1.2,TCA+_N1,1,0.594,0,0.591,0,0.49,0,0.172,0
PROMISE,synapse-1.2,forrest-0.8,LR,1,0.594,0,0.55,0,0.133,0,0.049,0
PROMISE,synapse-1.2,forrest-0.8,TCA_NoN,1,0.281,0,0.617,0,0.148,0,0.137,0
PROMISE,synapse-1.2,forrest-0.8,TCA_N1,1,0.406,0,0.683,0,0.174,0,0.187,0
PROMISE,synapse-1.2,forrest-0.8,TCA_N2,1,0.562,0,0.533,0,0.125,0,0.033,0
PROMISE,synapse-1.2,forrest-0.8,TCA_N3,1,0.812,0,0.433,0,0,0,-0.098,0
PROMISE,synapse-1.2,forrest-0.8,TCA_N4,1,0.625,0,0.567,0,0.143,0,0.067,0
PROMISE,synapse-1.2,forrest-0.8,TCA+_N1,1,0.406,0,0.683,0,0.174,0,0.187,0
PROMISE,forrest-0.8,velocity-1.6.1,LR,1,0.677,0,0.566,0,0.315,0,0.185,0
PROMISE,forrest-0.8,velocity-1.6.1,TCA_NoN,1,0.659,0,0.664,0,0.576,0,0.312,0
PROMISE,forrest-0.8,velocity-1.6.1,TCA_N1,1,0.624,0,0.607,0,0.5,0,0.206,0
PROMISE,forrest-0.8,velocity-1.6.1,TCA_N2,1,0.699,0,0.589,0,0.355,0,0.253,0
PROMISE,forrest-0.8,velocity-1.6.1,TCA_N3,1,0.659,0,0.525,0,0.17,0,0.092,0
PROMISE,forrest-0.8,velocity-1.6.1,TCA_N4,1,0.738,0,0.653,0,0.5,0,0.374,0
PROMISE,forrest-0.8,velocity-1.6.1,TCA+_N1,1,0.624,0,0.607,0,0.5,0,0.206,0
PROMISE,velocity-1.6.1,forrest-0.8,LR,1,0.406,0,0.683,0,0.174,0,0.187,0
PROMISE,velocity-1.6.1,forrest-0.8,TCA_NoN,1,0.562,0,0.533,0,0.125,0,0.033,0
PROMISE,velocity-1.6.1,forrest-0.8,TCA_N1,1,0.562,0,0.767,0,0.222,0,0.258,0
PROMISE,velocity-1.6.1,forrest-0.8,TCA_N2,1,0.625,0,0.8,0,0.25,0,0.293,0
PROMISE,velocity-1.6.1,forrest-0.8,TCA_N3,1,0.75,0,0.4,0,0,0,-0.124,0
PROMISE,velocity-1.6.1,forrest-0.8,TCA_N4,1,0.594,0,0.783,0,0.235,0,0.275,0
PROMISE,velocity-1.6.1,forrest-0.8,TCA+_N1,1,0.562,0,0.767,0,0.222,0,0.258,0
PROMISE,forrest-0.8,xalan-2.7,LR,1,0.23,0,0.61,0,0.361,0,0.058,0
PROMISE,forrest-0.8,xalan-2.7,TCA_NoN,1,0.568,0,0.736,0,0.72,0,0.104,0
PROMISE,forrest-0.8,xalan-2.7,TCA_N1,1,0.393,0,0.513,0,0.559,0,0.006,0
PROMISE,forrest-0.8,xalan-2.7,TCA_N2,1,0.256,0,0.309,0,0.404,0,-0.095,0
